slug,institution_name,dept_name,job_title,letter_date
bi_norwegian_business_school,BI Norwegian Business School,Department of Economics,Assistant Professor,"November 16, 2025"
catolica_lisbon_school,Catolica Lisbon School of Business and Economics,Department of Economics,Assistant Professor,"November 16, 2025"
columbia_u,Columbia University,Department of Economics,Postdoctoral Fellow,"November 16, 2025"
eui_max_weber_pd,European University Institute,Max Weber Programme,Postdoctoral Fellow,"November 16, 2025"
eui_jean_monnet_pd,European University Institute,Jean Monnet Programme,Postdoctoral Fellow,"November 16, 2025"
mit,MIT,FutureTech,Postdoctoral Associate,"November 16, 2025"
ut_san_antonio,UT San Antonio,Department of Economics,Assistant Professor,"November 16, 2025"
paris_school_economics,Paris School of Economics,XXX,Assistant Professor,"November 16, 2025"
lmu_munich,LMU Munich,Department of Economics,Assistant Professor,"November 16, 2025"
ucd,University College Dublin,School of Economics,Lecturer,"November 16, 2025"
carleton_college,Carleton College,Department of Economics,Assistant Professor,"November 16, 2025"
halle_institute,Halle Institute for Economics Research,Faculty of Economics and Management,Assistant Professor,"November 16, 2025"
u_copenhagen,University of Copenhagen,Department of Economics,Assistant Professor,"November 16, 2025"
unsw_sydney,Univesity of New South Wales Sydney,School of Economics,Lecturer,"November 16, 2025"
u_manchester,University of Manchester,Department of Economics,Lecturer,"November 16, 2025"
berry_college_data,Berry College,Department of Economics and Data Analytics,Assistant Professor of Data Analytics,"November 16, 2025"
berry_college_econ,Berry College,Department of Economics and Data Analytics,Assistant Professor of Economics,"November 16, 2025"
cega,Center for Effective Global Action,XXX,Postdoctoral Scholar,"November 16, 2025"
peking_u,Peking University,School of Economics,Assistant Professor,"November 16, 2025"
stony_brook,Stony Brook University,Department of Economics,Assistant Professor,"November 16, 2025"
brown_u_ppe,Brown University,"Center for Philosophy, Politics, and Economics",Postdoctoral Research Associate,"November 16, 2025"
cornell,Cornell University,Cornell Population Center,Postdoctoral Associate,"November 16, 2025"
creighton_u,Creighton University,Heider College of Business,Assistant Professor in Economics,"November 16, 2025"
florida_southern_college,Florida Southern College,Barney Barnett School of Business and Free Enterprise,Assistant Professor in Economics,"November 16, 2025"
high_point_u,High Point University,Phillips School of Business,Assistant Professor in Economics,"November 16, 2025"
pittsburg_state,Pittsburg State University,Kelce College of Business,"Director of Forecasting, Special Projects, and Micropolitan Studies","November 16, 2025"
simon_fraser_u,Simon Fraser University,Department of Economics,Assistant Professor,"November 16, 2025"
st_lawrence_u,St. Lawrence University,Department of Economics,Assistant Professor,"November 16, 2025"
tel_aviv_u,Tel Aviv University,Coller School of Management,Assistant Professor in Economics,"November 16, 2025"
u_wisconsin_whitewater,University of Wisconsin - Whitewater,Department of Economics,Assistant Professor,"November 16, 2025"
middle_tennessee_state,Middle Tennessee State University,Department of Economics and Finance,Assistant Professor,"November 16, 2025"
florida_state_ap,Florida State University,Department of Economics,Assistant Professor,"November 16, 2025"
hampden_sydney_college,Hampden-Sydney College,Department of Economics and Business,Assistant Professor,"November 16, 2025"
rollins_college,Rollins College,Department of Economics,Assistant Professor,"November 16, 2025"
st_john_fisher,St. John Fisher University,Department of Economics,Assistant Professor,"November 16, 2025"
wabash_college,Wabash College,Stephenson Institute for Classical Liberalism,Postdoctoral Scholar-in-Residence,"November 16, 2025"
idaho_state,Idaho State University,Department of Economics and Finance,Assistant Professor,"November 16, 2025"
johns_hopkins_education,Johns Hopkins University,School of Education,Assistant Professor,"November 16, 2025"
la_salle_u,La Salle University,Department of Humanity and Society,Assistant Professor of Economics,"November 16, 2025"
new_college_florida,New College of Florida,Division of Social Sciences,Assistant Professor of Economics,"November 16, 2025"
u_at_albany,University at Albany,Department of Public Administration and Policy,Assistant Professor of Economics,"November 16, 2025"
texas_tech_u,Texas Tech University,Free Market Institute,Postdoctoral Research Associate,"November 16, 2025"
ben_gurion_u,Ben Gurion University of the Negev,Department of Economics,Assistant Professor,"November 16, 2025"
dartmouth_pd,Dartmouth University,Market Shaping Accelerator,Postdoctoral Scholar,"November 16, 2025"
fashion_institute,Fashion Institute of Technology,Social Sciences Department,Assistant Professor of Economics,"November 16, 2025"
geldsetzer_lab,Stanford University,Geldsetzer lab,Postdoctoral Fellow,"November 16, 2025"
u_geneva_pd,University of Geneva,Institute of Economics and Econometrics,Postdoctoral Fellow,"November 16, 2025"
rutgers_u_pd,Rutgers University,School of Public Health,Postdoctoral Associate,"November 16, 2025"
ifo_institute_pd,Ifo Institute,XXX,Postdoctoral Researcher,"November 16, 2025"
aalto_u,Aalto University,Department of Economics,Assistant Professor,"November 16, 2025"
iese_business_school,IESE Business School,Financial Management Department,Assistant Professor,"November 16, 2025"
ucl_stone,University College London,"Stone Centre on Wealth Concentration, Inequality, and the Economy",Research Fellow,"November 16, 2025"
copenhagen_business_school_ap,Copenhagen Business School,Department of Economics,Assistant Professor,"November 16, 2025"
ensai,Ecole Nationale de la Statistique et de l'Analyse de l'Information,Department of Economics,Assistant Professor,"November 16, 2025"
thema,"Theorie Economique, Modelisation et Applications",Department of Economics and Management,Assistant Professor of Economics,"November 16, 2025"
luiss_guido_carli,LUISS Guido Carli,Department of Economics and Finance,Assistant Professor,"November 16, 2025"
bocconi_u_pd,Bocconi University,IGIER Research Center,Post-Doc Researcher,"November 16, 2025"
u_rovira_i_virgili,Universitat Rovira I Virgili,Department of Economics,Assistant Professor,"November 16, 2025"
ucd_bdic,University College Dublin,School of Economics - BDIC,Lecturer,"November 16, 2025"
u_milan_bicocca,University of Milan Bicocca,"Department of Economics, Management, and Statistics",Post-Doc,"November 16, 2025"
u_florida_ppel,University of Florida,Hamilton School for Classical and Civic Education,Assistant Professor in PPEL,"November 16, 2025"
u_nova_de_lisboa,Universidade Nova de Lisboa,Nova School of Business and Economics,Assistant Professor of Economics,"November 16, 2025"
norwegian_school_economics,Norwegian School of Economics,Department of Economics,Postdoctoral  Position in Labour Economics,"November 16, 2025"
banco_de_portugal,Banco de Portugal,Economics and Research Department,Research Economist,"November 16, 2025"
frankfurt_school_finance_management,Frankfurt School of Finance and Management,Economics and Law Department,Assistant Professor of Economics,"November 16, 2025"
u_cattolica_sacro_cuore,Università Cattolica del Sacro Cuore,Department of Economics and Finance,Postdoctoral research position,"November 16, 2025"
u_autonoma_de_barcelona,Universitat Autònoma de Barcelona,Department of Applied Economics,Assistant Professor,"November 16, 2025"
