slug,institution_name,dept_name,job_title,letter_date
goucher_college,Goucher College,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_minnesota_humphrey_school,University of Minnesota,Humphrey School of Public Affairs,Assistant Professor,"November 8, 2025"
u_of_mannheim_ap,University of Mannheim,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_mannheim_pd,University of Mannheim,Department of Economics,Postdoctoral Fellow,"November 8, 2025"
u_di_bologna,Università di Bologna,Department of Economics,Assistant Professor,"November 8, 2025"
sciences_po,Sciences Po,Department of Economics,Assistant Professor,"November 8, 2025"
mcmaster_u,McMaster University,Department of Economics,Assistant Professor,"November 8, 2025"
psu,Pennsylvania State University,Department of Economics,Assistant Professor,"November 8, 2025"
u_tennessee_chattanooga,University of Tennessee at Chattanooga,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_austin,University of Austin,Department of Economics,Assistant Professor,"November 8, 2025"
unc_chapel_hill,UNC Chapel Hill,Department of Economics,Assistant Professor,"November 8, 2025"
uva,University of Virginia,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_southern_maine,University of Southern Maine,Department of Economics,Assistant Professor,"November 8, 2025"
stanford_pd,Stanford University,Department of Economics,Postdoctoral Fellow,"November 8, 2025"
u_south_florida,University of South Florida,Department of Economics,Assistant Professor,"November 8, 2025"
nyu,NYU,Department of Economics,Postdoctoral Fellow,"November 8, 2025"
u_of_amsterdam,University of Amsterdam,Department of Economics,Lab Manager and Lecturer,"November 8, 2025"
vienna_u_economics_business,Vienna University of Economics and Business,Department of Business Analytics and Decision Sciences,Assistant Professor,"November 8, 2025"
furman_u,Furman University,Department of Economics,Assistant Professor,"November 8, 2025"
georgia_state,Georgia State University,Department of Economics,Assistant Professor,"November 8, 2025"
grinnell_college,Grinnell College,Department of Economics,Assistant Professor,"November 8, 2025"
stockholm_u,Stockholm University,Department of Economics,Assistant Professor,"November 8, 2025"
ohio_state,Ohio State University,Department of Economics,Postdoctoral Fellow,"November 8, 2025"
u_of_iowa,University of Iowa,Department of Economics,Assistant Professor,"November 8, 2025"
u_carlos_iii_madrid,Universidad Carlos III de Madrid,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_miami,University of Miami,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_northern_iowa,University of Northern Iowa,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_arkansas,University of Arkansas,Department of Economics,Assistant Professor,"November 8, 2025"
bocconi_u,Bocconi University,Department of Economics,Assistant Professor,"November 8, 2025"
bowdoin_college,Bowdoin College,Department of Economics,Assistant Professor,"November 8, 2025"
csu_long_beach,CSU Long Beach,Department of Economics,Assistant Professor,"November 8, 2025"
carnegie_mellon,Carnegie Mellon University,Department of Economics,Assistant Professor,"November 8, 2025"
harvard_pd,Harvard University,Department of Economics,Postdoctoral Fellow,"November 8, 2025"
hope_college,Hope College,Department of Economics,Assistant Professor,"November 8, 2025"
johns_hopkins,Johns Hopkins University,Department of Economics,Assistant Professor,"November 8, 2025"
mcgill_u,McGill University,Department of Economics,Assistant Professor,"November 8, 2025"
st_olaf_college,St Olaf College,Department of Economics,Assistant Professor,"November 8, 2025"
swarthmore_college,Swarthmore College,Department of Economics,Assistant Professor,"November 8, 2025"
texas_christian_u,Texas Christian University,Department of Economics,Assistant Professor,"November 8, 2025"
au_paris,The American University of Paris,Department of Economics,Assistant Professor,"November 8, 2025"
college_of_wooster,College of Wooster,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_akron,University of Akron,Department of Economics,Assistant Professor,"November 8, 2025"
tufts_u,Tufts University,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_alabama,University of Alabama,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_georgia,University of Georgia,Department of Economics,Assistant Professor,"November 8, 2025"
u_of_haifa,University of Haifa,Department of Economics,Assistant Professor,"November 8, 2025"
uiuc_ap_labor,University of Illinois Urbana-Champaign,Department of Economics,Assistant Professor,"November 8, 2025"
u_maryland_college_park,"University of Maryland, College Park",Department of Economics,Assistant Professor,"November 8, 2025"
umass_boston,Umass Boston,Department of Economics,Assistant Professor,"November 8, 2025"
u_notre_dame,University of Notre Dame,Department of Economics,Assistant Professor,"November 8, 2025"
u_pittsburgh,University of Pittsburgh,Department of Economics,Assistant Professor,"November 8, 2025"
ut_austin,UT Austin,Department of Economics,Assistant Professor,"November 8, 2025"
u_zurich,University of Zurich,Department of Economics,Postdoctoral Fellow,"November 8, 2025"
ku_leuven,KU Leuven,Department of Economics,Assistant Professor,"November 8, 2025"
iadb,Inter-American Development Bank,XXX,Research Economist,"November 9, 2025"
