slug,institution_name,dept_name,job_title,letter_date
stockton_u,Stockton University,Department of Economics,Assistant Professor,"November 16, 2025"
jilaee,Uchicago/UCEMA,Joint Initiative for Latin American Experimental Economics,Postdoctoral Scholar,"November 16, 2025"
technical_u_denmark,Technical University of Denmark,"Department of Technology, Management, and Economics",Assistant Professor,"November 16, 2025"
princeton,Princeton University,Department of Economics,Postdoctoral Research Associate,"November 16, 2025"
reichman_u,Reichman University,Tiomkin School of Economics,Assistant Professor,"November 16, 2025"
copenhagen_business_school_pd_bee,Copenhagen Business School,Department of Economics,Postdoc,"November 16, 2025"
u_vienna,University of Vienna,Department of Economics,Assistant Professor in Behavioral and Experimental Economics,"November 16, 2025"
u_copenhagen_pd_bee,University of Copenhagen,Department of Economics,Postdoc,"November 16, 2025"
unsw_pd_bee,University of New South Wales,School of Economics,Postdoctoral Research Fellow,"November 16, 2025"
bocconi_baffi,Bocconi University,BAFFI Research Center,Postdoctoral Researcher,"November 16, 2025"
