slug,institution_name,dept_name,job_title,letter_date
florida_state_lecturer,Florida State University,Department of Economics,Lecturer,"November 15, 2025"
southern_methodist_u,Southern Methodist University,Department of Economics,Lecturer,"November 15, 2025"
creighton_u_teaching,Creighton Univeresity,Department of Economics and Finance,Assistant Teaching Professor of Economics,"November 15, 2025"
tulane_u_data,Tulane University,Connolly Alexander Institute for Data Science,Professor of Practice in Data,"November 15, 2025"
columbia_business_school,Columbia University,Graduate School of Business,Lecturer of Economics,"November 15, 2025"
dartmouth_lecturer,Dartmouth College,Department of Economics,Lecturer,"November 15, 2025"
u_of_alabama_instructor,University of Alabama,"Department of Economics, Finance and Legal Studies",Clinical Instructor of Economics,"November 15, 2025"
vanderbilt_u_lecturer,Vanderbilt University,Department of Economics,Senior Lecturer,"November 15, 2025"
u_south_florida_instruction,University of South Florida,Department of Economics,Assistant Professor of Instruction,"November 15, 2025"
u_of_vermont_lecturer,University of Vermont,Department of Economics,Lecturer,"November 15, 2025"
u_toronto,University of Toronto,Department of Economics,"Assistant Professor, Teaching Stream","November 15, 2025"
